Date,Index
2024-05-01,124.73
2024-04-01,124.15
2024-03-01,124.12
2024-02-01,124.07
2024-01-01,124.02
2023-12-01,123.13
2023-11-01,123.36
2023-10-01,122.84
2023-09-01,122.91
2023-08-01,123.37
2023-07-01,122.82
2023-06-01,122.73
2023-05-01,121.94
2023-04-01,121.15
2023-03-01,120.37
2023-02-01,119.75
2023-01-01,118.77
2022-12-01,117.15
2022-11-01,117.22
2022-10-01,115.85
2022-09-01,114.86
2022-08-01,114.89
2022-07-01,114.0
2022-06-01,113.17
2022-05-01,112.6
2022-04-01,111.45
2022-03-01,110.89
2022-02-01,110.02
2022-01-01,109.69
2021-12-01,108.83
2021-11-01,109.33
2021-10-01,108.42
2021-09-01,108.57
2021-08-01,108.91
2021-07-01,108.69
2021-06-01,108.69
2021-05-01,108.76
2021-04-01,108.58
2021-03-01,108.49
2021-02-01,108.68
2021-01-01,108.66
2020-12-01,107.77
2020-11-01,108.12
2020-10-01,107.65
2020-09-01,108.01
2020-08-01,108.32
2020-07-01,108.14
2020-06-01,107.91
2020-05-01,106.8
2020-04-01,106.45
2020-03-01,107.58
2020-02-01,107.78
2020-01-01,107.38
2019-12-01,106.91
2019-11-01,106.79
2019-10-01,106.68
2019-09-01,106.6
2019-08-01,106.86
2019-07-01,106.84
2019-06-01,106.71
2019-05-01,106.68
2019-04-01,106.41
2019-03-01,106.32
2019-02-01,106.25
2019-01-01,106.06
2018-12-01,105.92
2018-11-01,105.87
2018-10-01,105.54
2018-09-01,105.37
2018-08-01,105.13
2018-07-01,104.77
2018-06-01,104.41
2018-05-01,104.38
2018-04-01,103.84
2018-03-01,103.53
2018-02-01,103.45
2018-01-01,103.23
2017-12-01,102.86
2017-11-01,103.22
2017-10-01,102.85
2017-09-01,102.76
2017-08-01,102.78
2017-07-01,102.83
2017-06-01,102.42
2017-05-01,102.53
2017-04-01,102.28
2017-03-01,102.21
2017-02-01,102.1
2017-01-01,102.14
2016-12-01,101.73
2016-11-01,102.01
2016-10-01,101.85
2016-09-01,101.68
2016-08-01,101.98
2016-07-01,101.8
2016-06-01,101.82
2016-05-01,101.43
2016-04-01,101.28
2016-03-01,101.11
2016-02-01,101.09
2016-01-01,100.96
2015-12-01,100.63
2015-11-01,100.6
2015-10-01,100.21
2015-09-01,100.05
2015-08-01,100.28
2015-07-01,100.16
2015-06-01,100.02
2015-05-01,99.93
2015-04-01,99.85
2015-03-01,99.57
2015-02-01,99.41
2015-01-01,99.29
2014-12-01,98.79
2014-11-01,99.08
2014-10-01,98.69
2014-09-01,98.51
2014-08-01,98.55
2014-07-01,98.47
2014-06-01,98.37
2014-05-01,98.34
2014-04-01,98.15
2014-03-01,98.16
2014-02-01,97.65
2014-01-01,97.41
2013-12-01,96.74
2013-11-01,96.92
2013-10-01,96.52
2013-09-01,96.39
2013-08-01,96.54
2013-07-01,96.21
2013-06-01,96.07
2013-05-01,95.69
2013-04-01,95.43
2013-03-01,95.31
2013-02-01,94.94
2013-01-01,94.6
2012-12-01,94.25
2012-11-01,94.72
2012-10-01,94.47
2012-09-01,94.41
2012-08-01,94.47
2012-07-01,94.23
2012-06-01,93.94
2012-05-01,93.81
2012-04-01,93.48
2012-03-01,93.45
2012-02-01,93.48
2012-01-01,93.39
2011-12-01,92.9
2011-11-01,92.66
2011-10-01,92.36
2011-09-01,91.91
2011-08-01,92.04
2011-07-01,91.73
2011-06-01,91.37
2011-05-01,91.26
2011-04-01,90.69
2011-03-01,90.51
2011-02-01,90.46
2011-01-01,90.38
2010-12-01,90.07
2010-11-01,90.45
2010-10-01,90.31
2010-09-01,90.18
2010-08-01,90.52
2010-07-01,90.29
2010-06-01,90.13
2010-05-01,90.27
2010-04-01,90.11
2010-03-01,90.04
2010-02-01,90.14
2010-01-01,90.04
2009-12-01,89.62
2009-11-01,89.88
2009-10-01,89.9
2009-09-01,89.78
2009-08-01,89.99
2009-07-01,89.91
2009-06-01,89.44
2009-05-01,89.3
2009-04-01,89.03
2009-03-01,88.9
2009-02-01,88.62
2009-01-01,88.21
2008-12-01,87.79
2008-11-01,87.75
2008-10-01,87.32
2008-09-01,86.72
2008-08-01,86.77
2008-07-01,86.24
2008-06-01,86.03
2008-05-01,85.75
2008-04-01,85.58
2008-03-01,84.98
2008-02-01,84.52
2008-01-01,83.94
2007-12-01,83.27
2007-11-01,83.2
2007-10-01,82.73
2007-09-01,82.66
2007-08-01,82.7
2007-07-01,82.57
2007-06-01,82.47
2007-05-01,82.3
2007-04-01,82.11
2007-03-01,81.88
2007-02-01,81.85
2007-01-01,81.74
2006-12-01,81.62
2006-11-01,81.64
2006-10-01,81.54
2006-09-01,81.42
2006-08-01,81.48
2006-07-01,81.38
2006-06-01,81.22
2006-05-01,81.3
2006-04-01,81.18
2006-03-01,81.11
2006-02-01,81.22
2006-01-01,81.3
2005-12-01,81.03
2005-11-01,81.04
2005-10-01,81.13
2005-09-01,81.08
2005-08-01,81.18
2005-07-01,81.26
2005-06-01,81.28
2005-05-01,81.2
2005-04-01,81.34
2005-03-01,81.28
2005-02-01,81.39
2005-01-01,81.47
2004-12-01,81.31
2004-11-01,81.51
2004-10-01,81.51
2004-09-01,81.51
2004-08-01,81.7
2004-07-01,81.61
2004-06-01,81.41
2004-05-01,81.48
2004-04-01,81.24
2004-03-01,81.09
2004-02-01,80.71
2004-01-01,80.39
2003-12-01,80.04
2003-11-01,80.11
2003-10-01,79.99
2003-09-01,79.8
2003-08-01,79.73
2003-07-01,79.63
2003-06-01,79.51
2003-05-01,79.16
2003-04-01,79.02
2003-03-01,78.8
2003-02-01,78.67
2003-01-01,78.33
2002-12-01,78.09
2002-11-01,78.12
2002-10-01,78.05
2002-09-01,78.03
2002-08-01,77.98
2002-07-01,77.68
2002-06-01,77.58
2002-05-01,77.43
2002-04-01,77.15
2002-03-01,77.21
2002-02-01,77.22
2002-01-01,77.17
2001-12-01,77.08
2001-11-01,77.15
2001-10-01,77.1
2001-09-01,77.19
2001-08-01,77.14
2001-07-01,77.02
2001-06-01,76.9
2001-05-01,76.93
2001-04-01,76.94
2001-03-01,76.86
2001-02-01,76.7
2001-01-01,76.56
2000-12-01,76.3
2000-11-01,76.34
2000-10-01,76.24
2000-09-01,76.19
2000-08-01,76.11
2000-07-01,75.97
2000-06-01,75.87
2000-05-01,75.91
2000-04-01,75.76
2000-03-01,75.88
2000-02-01,75.67
2000-01-01,75.43
1999-12-01,75.2
1999-11-01,75.23
1999-10-01,75.04
1999-09-01,75.01
1999-08-01,75.1
1999-07-01,74.86
1999-06-01,74.7
1999-05-01,74.54
1999-04-01,74.26
1999-03-01,73.9
1999-02-01,73.6
1999-01-01,73.22
1998-12-01,72.73
1998-11-01,72.65
1998-10-01,72.45
1998-09-01,72.19
1998-08-01,72.07
1998-07-01,71.91
1998-06-01,71.66
1998-05-01,71.58
1998-04-01,71.34
1998-03-01,71.26
1998-02-01,71.0
1998-01-01,70.87
1997-12-01,70.74
1997-11-01,70.73
1997-10-01,70.65
1997-09-01,70.64
1997-08-01,70.62
1997-07-01,70.6
1997-06-01,70.6
1997-05-01,70.47
1997-04-01,70.48
1997-03-01,70.38
1997-02-01,70.38
1997-01-01,70.16
1996-12-01,69.69
1996-11-01,69.72
1996-10-01,69.71
1996-09-01,69.74
1996-08-01,69.77
1996-07-01,69.7
1996-06-01,69.59
1996-05-01,69.41
1996-04-01,69.34
1996-03-01,69.19
1996-02-01,68.96
1996-01-01,68.91
1995-12-01,68.58
1995-11-01,68.6
1995-10-01,68.51
1995-09-01,68.38
1995-08-01,68.05
1995-07-01,67.45
1995-06-01,67.26
1995-05-01,67.06
1995-04-01,66.93
1995-03-01,66.87
1995-02-01,66.66
1995-01-01,66.35
1994-12-01,66.12
1994-11-01,66.25
1994-10-01,66.2
1994-09-01,66.2
1994-08-01,66.27
1994-07-01,66.23
1994-06-01,66.16
1994-05-01,66.0
1994-04-01,66.03
1994-03-01,66.1
1994-02-01,66.09
1994-01-01,66.0
1993-12-01,65.61
1993-11-01,65.88
1993-10-01,65.99
1993-09-01,66.18
1993-08-01,66.31
1993-07-01,66.36
1993-06-01,66.34
1993-05-01,66.51
1993-04-01,66.71
1993-03-01,66.86
1993-02-01,66.96
1993-01-01,66.98
1992-12-01,67.13
1992-11-01,67.2
1992-10-01,67.33
1992-09-01,67.29
1992-08-01,67.31
1992-07-01,67.2
1992-06-01,67.11
1992-05-01,66.91
1992-04-01,66.76
1992-03-01,66.56
1992-02-01,66.25
1992-01-01,66.03
1991-12-01,65.73
1991-11-01,65.6
1991-10-01,65.41
1991-09-01,65.14
1991-08-01,64.97
1991-07-01,64.81
1991-06-01,64.69
1991-05-01,64.28
1991-04-01,63.94
1991-03-01,63.61
1991-02-01,63.23
1991-01-01,62.89
1990-12-01,62.65
1990-11-01,62.58
1990-10-01,62.25
1990-09-01,61.98
1990-08-01,61.69
1990-07-01,61.43
1990-06-01,61.11
1990-05-01,60.73
1990-04-01,60.37
1990-03-01,59.8
1990-02-01,59.06
1990-01-01,58.57
